Station Name,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag
TORONTO CITY CENTRE,2014,1,1,,-8.2,,-13.9,,-11.1,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,2,,-13.8,,-18.8,,-16.3,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,3,,-6.6,,-21.8,,-14.2,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,4,,0.4,,-6.8,,-3.2,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,5,,1.3,,-2.2,,-0.5,,,M,,M,10.6,,,
TORONTO CITY CENTRE,2014,1,6,,2.9,,-15.6,,-6.4,,,M,,M,7.0,,,
TORONTO CITY CENTRE,2014,1,7,,-14.8,,-21.7,,-18.3,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,8,,-7.7,,-15.4,,-11.6,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,9,,-4.0,,-11.5,,-7.8,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,10,,2.8,,-5.0,,-1.1,,,M,,M,2.8,,,
TORONTO CITY CENTRE,2014,1,11,,5.2,,1.9,,3.6,,,M,,M,10.1,,,
TORONTO CITY CENTRE,2014,1,12,,2.7,,1.1,,1.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,13,,4.7,,1.1,,2.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,14,,4.3,,0.8,,2.6,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,15,,2.2,,-3.8,,-0.8,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,16,,-0.3,,-3.5,,-1.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,17,,1.8,,-1.0,,0.4,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,18,,-1.0,,-6.8,,-3.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,19,,,,,,,,,,,,,,,
TORONTO CITY CENTRE,2014,1,20,,-1.6,,-15.9,,-8.8,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,21,,-14.6,,-18.6,,-16.6,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,22,,-11.8,,-19.9,,-15.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,23,,-12.0,,-17.2,,-14.6,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,24,,-6.0,,-17.4,,-11.7,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,25,,-2.2,,-13.6,,-7.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,26,,-3.0,,-13.9,,-8.5,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,27,,-3.1,,-15.4,,-9.3,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,28,,-11.2,,-17.7,,-14.5,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,29,,-8.8,,-14.9,,-11.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,30,,-0.4,,-10.0,,-5.2,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,1,31,,1.1,,-3.2,,-1.1,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,1,,1.1,,-2.7,,-0.8,,,M,,M,13.8,,,
TORONTO CITY CENTRE,2014,2,2,,0.9,,-6.0,,-2.6,,,M,,M,1.3,,,
TORONTO CITY CENTRE,2014,2,3,,-3.5,,-10.0,,-6.8,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,4,,-3.7,,-10.4,,-7.1,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,5,,-5.0,,-11.6,,-8.3,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,6,,-6.0,,-13.8,,-9.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,7,,-8.2,,-13.2,,-10.7,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,8,,-8.7,,-13.6,,-11.2,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,9,,-7.3,,-13.2,,-10.3,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,10,,-6.0,,-11.7,,-8.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,11,,-9.0,,-14.7,,-11.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,12,,-6.0,,-14.7,,-10.4,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,13,,-2.5,,-12.5,,-7.5,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,14,,0.1,,-4.4,,-2.2,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,15,,-3.0,,-11.6,,-7.3,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,16,,-7.0,,-12.3,,-9.7,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,17,,-2.1,,-16.4,,-9.3,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,18,,0.1,,-3.9,,-1.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,19,,5.3,,-4.1,,0.6,,,M,,M,1.3,,,
TORONTO CITY CENTRE,2014,2,20,,1.6,,-3.7,,-1.1,,,M,,M,12.8,,,
TORONTO CITY CENTRE,2014,2,21,,4.2,,1.1,,2.7,,,M,,M,8.8,,,
TORONTO CITY CENTRE,2014,2,22,,3.2,,0.2,,1.7,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,23,,0.4,,-4.4,,-2.0,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,24,,-4.3,,-8.4,,-6.4,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,25,,-5.2,,-9.9,,-7.6,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,26,,-7.2,,-13.7,,-10.5,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,27,,-7.5,,-15.6,,-11.6,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,2,28,,-6.8,,-17.2,,-12.0,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,1,,-1.6,,-10.1,,-5.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,2,,-8.7,,-15.3,,-12.0,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,3,,-10.9,,-17.9,,-14.4,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,4,,-8.3,,-15.1,,-11.7,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,5,,-4.8,,-10.5,,-7.7,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,6,,-2.9,,-7.8,,-5.4,,,M,,M,,M,,
TORONTO CITY CENTRE,2014,3,7,,1.8,,-8.3,,-3.3,,,M,,M,,M,,
TORONTO CITY CENTRE,2014,3,8,,2.6,,-6.0,,-1.7,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,9,,1.2,,-8.5,,-3.7,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,10,,4.6,,0.8,,2.7,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,11,,7.9,,2.0,,5.0,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,12,,4.6,,-13.6,,-4.5,,,M,,M,0.6,,,
TORONTO CITY CENTRE,2014,3,13,,-5.6,,-16.1,,-10.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,14,,7.9,,-5.7,,1.1,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,15,,5.9,,-7.1,,-0.6,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,16,,-7.0,,-12.0,,-9.5,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,17,,-3.4,,-12.7,,-8.1,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,18,,1.5,,-3.7,,-1.1,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,19,,5.0,,0.6,,2.8,,,M,,M,5.8,,,
TORONTO CITY CENTRE,2014,3,20,,4.1,,-1.1,,1.5,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,21,,2.1,,-2.5,,-0.2,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,22,,2.9,,-5.7,,-1.4,,,M,,M,0.5,,,
TORONTO CITY CENTRE,2014,3,23,,-4.8,,-8.6,,-6.7,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,24,,-3.0,,-9.3,,-6.2,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,25,,0.9,,-8.3,,-3.7,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,26,,-4.0,,-10.3,,-7.2,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,27,,3.8,,-6.7,,-1.5,,,M,,M,1.6,,,
TORONTO CITY CENTRE,2014,3,28,,8.5,,2.0,,5.3,,,M,,M,2.6,,,
TORONTO CITY CENTRE,2014,3,29,,3.3,,1.4,,2.4,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,30,,8.6,,0.0,,4.3,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,3,31,,7.2,,-0.8,,3.2,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,4,1,,,,,,,,,,,,,,,
TORONTO CITY CENTRE,2014,4,2,,7.7,,1.0,,4.4,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,4,3,,3.0,,-0.1,,1.5,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,4,4,,,,,,,,,,,,,,,
TORONTO CITY CENTRE,2014,4,5,,4.5,,-0.9,,1.8,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,4,6,,9.6,,-1.2,,4.2,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,4,7,,7.1,,2.7,,4.9,,,M,,M,16.3,,,
TORONTO CITY CENTRE,2014,4,8,,13.0,,2.8,,7.9,,,M,,M,6.3,,,
TORONTO CITY CENTRE,2014,4,9,,10.3,,2.0,,6.2,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,4,10,,14.2,,2.0,,8.1,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,4,11,,12.1,,3.3,,7.7,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,4,12,,11.4,,1.6,,6.5,,,M,,M,3.3,,,
TORONTO CITY CENTRE,2014,4,13,,10.9,,4.4,,7.7,,,M,,M,4.5,,,
TORONTO CITY CENTRE,2014,4,14,,14.3,,2.8,,8.6,,,M,,M,9.9,,,
TORONTO CITY CENTRE,2014,4,15,,2.8,,-4.2,,-0.7,,,M,,M,6.9,,,
TORONTO CITY CENTRE,2014,4,16,,3.1,,-4.8,,-0.9,,,M,,M,0.0,,,
TORONTO CITY CENTRE,2014,4,17,,5.9,,0.7,,3.3,,,M,,M,0.0,,,
