Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-01,2014,1,1,†,-10.0,,-14.0,,-12.0,,30.0,,0.0,,0.0,,0.0,T,0.0,T,15.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-02,2014,1,2,†,-16.5,,-19.5,,-18.0,,36.0,,0.0,,0.0,,0.6,,0.4,,14.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-03,2014,1,3,†,-6.0,,-25.0,,-15.5,,33.5,,0.0,,0.0,,0.0,,0.0,,14.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-04,2014,1,4,†,0.0,,-15.5,,-7.8,,25.8,,0.0,,0.0,,2.6,,3.0,,14.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-05,2014,1,5,†,1.0,,-3.5,,-1.3,,19.3,,0.0,,5.0,,9.6,,16.2,,16.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-06,2014,1,6,†,-5.0,,-9.5,,-7.3,,25.3,,0.0,,0.0,,0.0,T,0.0,T,22.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-07,2014,1,7,†,-14.0,,-24.5,,-19.3,,37.3,,0.0,,0.0,,0.0,T,0.0,T,22.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-08,2014,1,8,†,-8.0,,-18.5,,-13.3,,31.3,,0.0,,0.0,,0.0,T,0.0,T,22.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-09,2014,1,9,†,-2.0,,-16.5,,-9.3,,27.3,,0.0,,0.0,,3.0,,2.4,,21.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-10,2014,1,10,†,2.0,,-12.0,,-5.0,,23.0,,0.0,,7.0,,0.0,,7.0,,23.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-11,2014,1,11,†,6.5,,0.5,,3.5,,14.5,,0.0,,2.8,,0.0,,2.8,,18.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-12,2014,1,12,†,3.5,,0.5,,2.0,,16.0,,0.0,,0.0,,0.0,,0.0,,15.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-13,2014,1,13,†,7.0,,-4.0,,1.5,,16.5,,0.0,,0.0,T,0.0,,0.0,T,13.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-14,2014,1,14,†,4.5,,1.0,,2.8,,15.2,,0.0,,0.0,,0.0,T,0.0,T,9.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-15,2014,1,15,†,0.0,,-2.5,,-1.3,,19.3,,0.0,,0.0,,0.0,T,0.0,T,9.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-16,2014,1,16,†,0.0,,-6.5,,-3.3,,21.3,,0.0,,0.0,,6.0,,3.8,,9.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-17,2014,1,17,†,3.0,,-3.5,,-0.3,,18.3,,0.0,,0.0,,2.4,,1.2,,13.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-18,2014,1,18,†,-2.5,,-6.0,,-4.3,,22.3,,0.0,,0.0,,0.0,,0.0,,14.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-19,2014,1,19,†,-2.5,,-8.5,,-5.5,,23.5,,0.0,,0.0,,1.2,,1.2,,13.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-20,2014,1,20,†,-9.5,,-11.5,,-10.5,,28.5,,0.0,,0.0,,0.0,,0.0,,13.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-21,2014,1,21,†,-15.0,,-21.5,,-18.3,,36.3,,0.0,,0.0,,0.0,,0.0,,13.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-22,2014,1,22,†,-13.5,,-25.0,,-19.3,,37.3,,0.0,,0.0,,0.2,,0.2,,13.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-23,2014,1,23,†,-14.0,,-19.5,,-16.8,,34.8,,0.0,,0.0,,0.0,T,0.0,T,12.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-24,2014,1,24,†,-7.0,,-20.0,,-13.5,,31.5,,0.0,,0.0,,4.0,,3.0,,12.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-25,2014,1,25,†,-3.5,,-12.0,,-7.8,,25.8,,0.0,,0.0,,0.6,,0.4,,15.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-26,2014,1,26,†,-5.0,,-17.0,,-11.0,,29.0,,0.0,,0.0,,5.2,,3.2,,15.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-27,2014,1,27,†,-10.0,,-12.0,,-11.0,,29.0,,0.0,,0.0,,0.0,T,0.0,T,20.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-28,2014,1,28,†,-12.5,,-20.0,,-16.3,,34.3,,0.0,,0.0,,0.0,,0.0,,20.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-29,2014,1,29,†,-9.0,,-19.0,,-14.0,,32.0,,0.0,,0.0,,0.0,,0.0,,20.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-30,2014,1,30,†,-1.0,,-15.0,,-8.0,,26.0,,0.0,,0.0,,0.2,,0.2,,19.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-01-31,2014,1,31,†,0.5,,-5.5,,-2.5,,20.5,,0.0,,0.0,,0.0,T,0.0,T,19.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-02-01,2014,2,1,†,0.0,,-7.5,,-3.8,,21.8,,0.0,,0.0,,13.0,,13.8,,19.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-02-02,2014,2,2,†,-1.5,,-4.0,,-2.8,,20.8,,0.0,,0.0,,0.0,T,0.0,T,30.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-02-03,2014,2,3,†,-4.0,,-12.0,,-8.0,,26.0,,0.0,,0.0,,0.0,,0.0,,30.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2014-02-04,2014,2,4,†,-4.0,,-17.0,,-10.5,,28.5,,0.0,,0.0,,7.2,,4.0,,28.0,,,,,
